gender,age,area,edu,pressure
1,48,2,12,2
1,59,1,10,1
1,47,2,15,3
1,38,2,12,2
1,38,2,12,2
1,31,3,16,2
1,38,2,16,2
1,63,3,12,0
1,56,3,12,1
1,38,3,12,2
1,47,2,13,1
1,63,3,15, 
1,47,2,23,1
1,47,1,16,1
1,57,3,20,1
1,60,2,14,0
1,52,3,10,1
1,46,3,14,2
1,58,1,6,1
1,48,3,13,2
1,42,2,16,2
1,49,3,10,2
1,48,1,14,2
1,62,1,9,0
1,48,3,12,0
1,52,3,15,2
1,49,3,12,1
1,47,2,15,0
1,53,1,12,2
1,55,2,9,0
1,47,3,14,2
1,52,3,9,0
1,49,2,14,0
1,41,2,11,2
1,58,1,16,1
2,36,1,19,2
2,54,2,9,2
2,55,3,11,2
2,39,1,12,1
2,41,2,16,1
2,47,1,14,0
2,47,1,12,1
2,49,1,11,1
2,48,3,10,2
2,47,1,9,2
2,41,2,15,1
2,45,1,19,2
2,56,1,13,0
2,42,3,16,2
2,42,3,19,1
2,49,3,10,2
2,39,1,14,2
2,59,2,15,2
2,49,1,13,2
2,45,3,10,1
2,63,1,12,1
2,28,3,16,1
2,47,3,11,2
2,52,1,11,0
2,38,2,15,2
2,48,2,13,2
2,48,3,16,2
2,51,2,13,1
2,48,2,15,0
2,47,1,12,1
2,53,3,10,3
2,46,1,12,2
2,52,2,18,1
2,55,2,12,2
2,38,2,13,3
2,47,2,14,3
2,52,3,12,0
2,60,2,11,1
2,53,3,15,1
2,56,3,8,2
2,47,2,12,1
2,43,1,15,2
2,54,2,8,0
2,48,3,14,2
2,44,2,15,1
2,43,1,16,0
2,48,2,11,1
2,44,3,16,2
2,54,3,12,0
2,55,1,13,2
2,52,2,11,2
2,38,3,14,1
2,48,2,16,2
2,48,3,11,1
2,44,1,10,2
2,48,3,15,2
